plot,JUDE2,PICE,PIPO,PIST3,QUEM,QUGA,QUGR2,QUGR3,QUHY,easting ,northing,long,lat,,,,,,,,,,,,,,,,,,,,,,,,,,
D218,66,0,0,0,0,0,0,60,74,586942,3396421,-104.092,30.6974,,,,,,,,,,,,,,,,,,,,,,,,,,
D219,35,73,0,0,0,0,0,55,36,588143,3396417,-104.08,30.6973,,,,,,,,,,,,,,,,,,,,,,,,,,
D22,0,155,0,0,46,0,0,0,0,583323,3392247,-104.13,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,
D220,97,29,0,0,0,0,0,22,52,585140,3397020,-104.111,30.703,,,,,,,,,,,,,,,,,,,,,,,,,,
D221,116,48,0,0,0,0,0,10,26,585715,3397018,-104.105,30.7029,,,,,,,,,,,,,,,,,,,,,,,,,,
D222,11,154,0,0,0,0,0,17,18,586335,3397019,-104.098,30.7029,,,,,,,,,,,,,,,,,,,,,,,,,,
D223,46,39,0,0,0,0,0,47,67,586946,3397014,-104.092,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D224,128,72,0,0,0,0,0,0,0,587544,3397018,-104.086,30.7028,,,,,,,,,,,,,,,,,,,,,,,,,,
D226,124,76,0,0,0,0,0,0,0,585143,3397624,-104.111,30.7084,,,,,,,,,,,,,,,,,,,,,,,,,,
D227,112,34,0,0,0,0,0,23,31,585712,3397622,-104.105,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D228,100,48,0,0,0,0,0,29,23,586339,3397623,-104.098,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D229,57,45,0,0,0,0,0,39,60,586946,3397626,-104.092,30.7083,,,,,,,,,,,,,,,,,,,,,,,,,,
D23,136,42,0,0,0,0,0,11,12,582713,3392862,-104.137,30.6656,,,,,,,,,,,,,,,,,,,,,,,,,,
D230,102,81,0,0,0,0,2,9,6,587542,3397622,-104.086,30.7082,,,,,,,,,,,,,,,,,,,,,,,,,,
D232,128,9,0,0,0,0,0,29,33,585143,3398233,-104.111,30.7139,,,,,,,,,,,,,,,,,,,,,,,,,,
D233,167,15,0,0,0,0,0,7,11,585748,3398237,-104.104,30.7139,,,,,,,,,,,,,,,,,,,,,,,,,,
D234,103,25,0,0,0,0,0,23,49,586336,3398221,-104.098,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D235,47,63,0,0,0,0,0,64,26,586945,3398228,-104.092,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D236,133,47,0,0,0,0,0,6,14,587539,3398226,-104.086,30.7137,,,,,,,,,,,,,,,,,,,,,,,,,,
D237,60,141,0,0,0,0,0,0,0,584540,3398824,-104.117,30.7193,,,,,,,,,,,,,,,,,,,,,,,,,,
D238,37,95,0,0,0,0,0,27,41,585142,3398823,-104.111,30.7192,,,,,,,,,,,,,,,,,,,,,,,,,,
D239,42,122,0,0,0,0,0,20,15,585742,3398823,-104.104,30.7192,,,,,,,,,,,,,,,,,,,,,,,,,,
D24,200,0,0,0,0,0,0,0,0,583370,3393426,-104.13,30.6707,,,,,,,,,,,,,,,,,,,,,,,,,,
D240,100,38,0,0,0,0,0,33,29,586341,3398824,-104.098,30.7191,,,,,,,,,,,,,,,,,,,,,,,,,,
D241,182,18,0,0,0,0,0,0,0,586949,3398823,-104.092,30.7191,,,,,,,,,,,,,,,,,,,,,,,,,,
D242,28,131,0,0,0,0,0,25,17,584537,3399423,-104.117,30.7247,,,,,,,,,,,,,,,,,,,,,,,,,,
D243,0,72,0,0,0,0,0,60,68,585142,3399420,-104.111,30.7246,,,,,,,,,,,,,,,,,,,,,,,,,,
D244,0,0,91,0,0,0,0,38,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,20262,21
D245,0,0,0,97,0,0,0,38,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,22905,1
D246,0,0,70,31,0,0,0,42,0,0,0,-109.489,0,,,,,,,,,,,,,,,,,,,,,,,,,21030,10
D247,0,93,0,0,0,0,0,47,60,587536,3399427,-104.086,30.7245,,,,,,,,,,,,,,,,,,,,,,,,,,
D248,37,92,0,0,0,0,0,35,35,587542,3396421,-104.086,30.6974,,,,,,,,,,,,,,,,,,,,,,,,,,
D249,93,54,0,0,0,0,0,23,30,584537,3400024,-104.117,30.7301,,,,,,,,,,,,,,,,,,,,,,,,,,
D25,9,104,0,0,0,0,0,40,47,583964,3391622,-104.124,30.6543,,,,,,,,,,,,,,,,,,,,,,,,,,
D250,53,37,0,0,0,0,0,67,44,585147,3400025,-104.111,30.7301,,,,,,,,,,,,,,,,,,,,,,,,,,
D251,117,83,0,0,0,0,0,0,0,585742,3400025,-104.104,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,
D252,0,15,0,0,0,0,0,94,91,586337,3400028,-104.098,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,
D253,44,141,0,0,0,0,0,9,5,586945,3400023,-104.092,30.7299,,,,,,,,,,,,,,,,,,,,,,,,,,
