"Name","Latitude","Longitude","Description"
"QUEM_OG12",29.2763209579325,-103.323273805074,"CM"
"QUEM_plot11",29.2631538169665,-103.294612821209,"CM"
"QUEM_plot116",29.2513218933248,-103.294449012357,"CM"
"QUEM_plot12",29.2610777348536,-103.295974755276,"CM"
"QUEM_plot8",29.2649804322383,-103.302002257099,"CM"
"QUGR2_plot116",29.2513218933248,-103.294449012357,"CM"
"QUGR2_plot12",29.2610777348536,-103.295974755276,"CM"
"QUGR2_plot139",29.2471062643786,-103.291493947715,"CM"
"QUGR2_plot14",29.2593311324697,-103.297701626245,"CM"
"QUGR2_plot35",29.2418573230214,-103.295243897643,"CM"
"QUGR2_plot36",29.2367466676007,-103.296398567919,"CM"
"QUGR2_plot58",29.2328040986052,-103.293624457717,"CM"
"QUGR2_plot67",29.2444966491572,-103.296301050416,"CM"
"QUGR2_plot98",29.2472900359376,-103.300246954329,"CM"
"QUGR2_plot99",29.2491946345932,-103.298877850932,"CM"
"QUGR3_OG14",29.2752860003053,-103.319184186944,"CM"
"QUGR3_plot10",29.2645530506257,-103.296781551965,"CM"
"QUGR3_plot11",29.2631538169665,-103.294612821209,"CM"
"QUGR3_plot111",29.2483780518307,-103.293571818847,"CM"
"QUGR3_plot14",29.2593311324697,-103.297701626245,"CM"
"QUGR3_plot17",29.2605049053311,-103.299884343639,"CM"
"QUGR3_plot32",29.2362280445289,-103.29960673817,"CM"
"QUGR3_plot33",29.2383503430501,-103.298326773786,"CM"
"QUGR3_plot4",29.2617389197857,-103.301839722718,"CM"
"QUGR3_plot49",29.2357739319537,-103.291589613905,"CM"
"QUGR3_plot98",29.2472900359376,-103.300246954329,"CM"
"QUGR3_plot99",29.2491946345932,-103.298877850932,"CM"
"JUDE2_D106",30.7029893399255,-104.117201328997,"DM"
"JUDE2_D125",30.6493090289745,-104.180349394581,"DM"
"JUDE2_D126",30.6492510841925,-104.174046297208,"DM"
"JUDE2_D18",30.6600101416965,-104.154916742832,"DM"
"JUDE2_D19",30.6653392098151,-104.148826710328,"DM"
"JUDE2_D20",30.6706750007658,-104.142433225987,"DM"
"JUDE2_D33",30.675969986777,-104.1299742151,"DM"
"JUDE2_D34",30.6760004968334,-104.123773050262,"DM"
"JUDE2_D35",30.6814047611101,-104.123682498067,"DM"
"JUDE2_D36",30.681410772041,-104.129946319634,"DM"
"JUDE2_D37",30.6868693182365,-104.129876492374,"DM"
"JUDE2_D38",30.6868721789002,-104.123591357508,"DM"
"JUDE2_D4",30.6760102512102,-104.136007723506,"DM"
"JUDE2_D40",30.6815870780572,-104.136083353275,"DM"
"JUDE2_D43",30.6977355945294,-104.123524524186,"DM"
"JUDE2_D44",30.6922918392164,-104.129817413508,"DM"
"JUDE2_D45",30.6922313207385,-104.123501177082,"DM"
"JUDE2_D48",30.6923700958936,-104.136133504946,"DM"
"JUDE2_D52",30.6600200017975,-104.167629578102,"DM"
"JUDE2_D8",30.6541901036236,-104.167491668644,"DM"
"JUDE2_D86",30.6654826346639,-104.173845639075,"DM"
"PICE_D116",30.6760087521483,-104.154986269032,"DM"
"PICE_D117",30.676094181966,-104.148721972809,"DM"
"PICE_D131",30.6437571238816,-104.161549160886,"DM"
"PICE_D150",30.6816525711546,-104.161221924151,"DM"
"PICE_D182",30.6651508117733,-104.111251387804,"DM"
"PICE_D19",30.6653392098151,-104.148826710328,"DM"
"PICE_D220",30.7029555481476,-104.110925937249,"DM"
"PICE_D32",30.6705699394952,-104.136108336102,"DM"
"PICE_D40",30.6815870780572,-104.136083353275,"DM"
"PIPO_D179",30.6703534343658,-104.092435216821,"DM"
"PIPO_D184",30.6649303652094,-104.098894824282,"DM"
"PIPO_D188",30.6596741609646,-104.111311943176,"DM"
"PIPO_D189",30.6596403549174,-104.105070671507,"DM"
"PIPO_D194",30.6541451609723,-104.105058676772,"DM"
"PIPO_D20",30.6706750007658,-104.142433225987,"DM"
"PIPO_D26",30.6489445593594,-104.129830149591,"DM"
"PIPO_D7",30.6543391873135,-104.161207358468,"DM"
"PIPO_D9",30.6603226061782,-104.161364440053,"DM"
"PIST3_D188",30.6596741609646,-104.111311943176,"DM"
"PIST3_D21",30.6601483000216,-104.123999597412,"DM"
"PIST3_D26",30.6489445593594,-104.129830149591,"DM"
"QUEM_D115",30.6761848133282,-104.161269178046,"DM"
"QUEM_D168",30.6759760079496,-104.117488872928,"DM"
"QUEM_D20",30.6706750007658,-104.142433225987,"DM"
"QUEM_D220",30.7029555481476,-104.110925937249,"DM"
"QUEM_D39",30.6762063085889,-104.142446995352,"DM"
"QUEM_D42",30.6974965460802,-104.11092377987,"DM"
"QUEM_D45",30.6922313207385,-104.123501177082,"DM"
"QUEM_D51",30.6654976464325,-104.155129942796,"DM"
"QUEM_D54",30.6816155792489,-104.148600462603,"DM"
"QUGR2_D101",30.7032250415084,-104.148442094935,"DM"
"QUGR2_D110",30.6925782950293,-104.173677602151,"DM"
"QUGR2_D267",30.7406231819026,-104.072995049582,"DM"
"QUGR3_D101",30.7032250415084,-104.148442094935,"DM"
"QUGR3_D105",30.7030135944558,-104.123445490102,"DM"
"QUGR3_D115",30.6761848133282,-104.161269178046,"DM"
"QUGR3_D151",30.6816568390571,-104.167496248423,"DM"
"QUGR3_D219",30.6972965241559,-104.079622116129,"DM"
"QUGR3_D237",30.7192749772723,-104.1170425454,"DM"
"QUGR3_D29",30.6598750620951,-104.142559911095,"DM"
"QUGR3_D54",30.6816155792489,-104.148600462603,"DM"
"QUGR3_D8",30.6541901036236,-104.167491668644,"DM"
"QUGR3_D93",30.6870390526684,-104.161164919546,"DM"
"QUHY_D109",30.6978755654205,-104.161112968999,"DM"
"QUHY_D128",30.6439038506046,-104.180311496829,"DM"
"QUHY_D175",30.67050802469,-104.117496827343,"DM"
"QUHY_D183",30.6650179631258,-104.10504199103,"DM"
"QUHY_D195",30.6330257662489,-104.186695321629,"DM"
"QUHY_D201",30.6276235925743,-104.174250905804,"DM"
"QUHY_D206",30.6439736359084,-104.192906974233,"DM"
"QUHY_D21",30.6601483000216,-104.123999597412,"DM"
"QUHY_D25",30.6543349730782,-104.123644984007,"DM"
"QUHY_D26",30.6489445593594,-104.129830149591,"DM"
"QUHY_D267",30.7406231819026,-104.072995049582,"DM"
"QUHY_D7",30.6543391873135,-104.161207358468,"DM"
