date.collected,date.spun,name,tag,spcode,trial,flushed,RPM,flow.bg.pre,height.balance.pre,flow,height.head,flow.bg.post,height.balance.post,temp,stem.length,cent.temp,Use,notes
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,13500,0,128,0.294711775,822,-0.039997368,129,22,14,18,,
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,13500,0,128,0.2947117752,822,-0.039997368,129,22,14.2,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1016,PIPO,1,T,15500,-0.020001657,130,-0.048010332,805,-0.039997298,130,22,14,18,,
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,0,-0.044000518,128,0.605954513,845,-0.059995909,128,22,13.7,,,Vacuum incubate 24 hrs 
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,0,-0.0440005184,128,0.6059545126,845,-0.059995909,128,22,14,,,
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,6700,-0.020002676,130,0.571667106,797,-0.040004777,130,22,13.7,18,,
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,6700,-0.0200026767,130,0.5716671059,797,-0.0400047766,130,22,14,18,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,9500,-0.020002656,131,0.599943357,890,-0.040027804,131,22,13.7,18,,
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,9500,-0.0200026563,131,0.5999433571,890,-0.0400278037,131,22,14,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,11700,-0.020002572,131,1.133421513,831,-0.039997343,131,22,13.7,18,,
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,11700,-0.0200025724,131,1.33421513,831,-0.0399973432,130,22,14,,,Centrifuge temp missing from this sheet
6/14/14,6/20/14,Tailor,1017,JUDE2,1,T,13500,0,131,0.559951512,815,-0.040026658,131,22,13.7,18,,Vacuum incubated 24 hrs.
6/14/14,6/20/14,Tailor,1018,PIPO,1,T,0,-0.020002604,128,0.493595072,817,-0.052999682,129,22,13.8,18,,
6/14/14,6/20/14,Tailor,1018,PIPO,1,T,6700,0,130,0.479973795,789,-0.059993306,130,22,13.8,18,,
6/14/14,6/20/14,Tailor,1018,PIPO,1,T,9500,-0.020002644,131,0.638001723,881,-0.039997303,132,22,13.8,18,,
6/14/14,6/20/14,Tailor,1018,PIPO,1,T,11700,0,129,0.55327198,846,0,129,22,13.8,18,,
6/14/14,6/23/14,Tailor,1002,PIPO,1,T,0,-0.059799532,135,0.59799532,843,-0.059999822,136,22,13.7,,,
6/14/14,6/23/14,Tailor,1002,PIPO,1,T,4800,-0.02000212,137,0.654283809,823,-0.04000364,138,22,13.7,17,,
6/14/14,6/23/14,Tailor,1002,PIPO,1,T,6700,0,140,0.623700676,788,-0.039988147,140,22,13.7,18,,distal end damaged
6/14/14,6/23/14,Tailor,1002,PIPO,1,T,9500,-0.039717686,130,0.829045348,881,-0.050008126,130,22,13.5,18,,
6/14/14,6/23/14,Tailor,1002,PIPO,1,T,11700,0,136,0.748180919,850,-0.040005343,137,22,13.5,19,,
6/14/14,6/23/14,Tailor,1008,PIPO,1,T,0,0,131,1.28542571,845,0,131,22,13.9,,,Vacuum incubated 24 hrs.
6/14/14,6/23/14,Tailor,1008,PIPO,1,T,0,0,135,1.27374876,890,-0.047959516,136,22,13.9,,,
6/14/14,6/23/14,Tailor,1008,PIPO,1,T,4800,-0.01999297,136,1.239992583,832,-0.023999547,137,22,13.9,17,,
6/14/14,6/23/14,Tailor,1008,PIPO,1,T,6700,0,138,1.399315728,791,-0.059995775,139,22,13.9,18,,
6/14/14,6/23/14,Tailor,1008,PIPO,1,T,9500,0,134,1.373466192,872,-0.020357241,134,22,13.7,18,,
